"","X","V1","V2","V3","V4","V5"
"1",1,261182.110200665,260472.723350776,259977.286616876,257997.624190795,257883.041690334
"2",2,NA,NA,NA,NA,47201.0939331826
"3",3,39669.9244733997,NA,39553.4261015468,39577.3016351195,NA
"4",4,39156.0883639702,39156.5347143311,39097.0560780214,39037.5957926645,39019.6561713313
"5",5,42469.4736205142,42467.3868892167,42440.2740859855,NA,NA
"6",6,NA,NA,33845.4717849451,NA,NA
"7",7,269408.98732113,268323.253586615,267971.944906183,267922.941961011,NA
"8",8,127086.960534244,NA,126644.418867828,NA,126387.583441306
"9",9,NA,105199.353449948,105051.953607533,104512.439386957,104408.172073347
"10",10,42620.5018867793,41977.0124973729,41445.4481015443,41250.2814683679,41253.8221261182
"11",11,66189.1151684376,66148.0502482104,66103.7796989751,NA,NA
"12",12,110147.091685931,109617.273424964,109565.321188106,109102.265343014,109088.407273969
"13",13,NA,NA,169523.613010041,169188.146393543,169144.997401153
"14",14,71011.2231411996,NA,70804.0471581708,70792.4192750229,70788.4959081265
"15",15,122948.536013373,122041.136513437,121800.930663302,121491.938623488,121353.472287151
"16",16,117721.780070736,NA,NA,117572.331322398,117550.294100461
"17",17,NA,33205.7173350539,NA,33191.1880319437,NA
"18",18,118285.106515871,117981.22558752,117439.831973396,117225.358842118,117166.541361102
"19",19,NA,NA,NA,126007.490010756,125999.176695601
"20",20,NA,NA,NA,NA,NA
"21",21,81598.1736230697,81212.7402529702,81024.0072332019,80935.3290431208,80902.1546732882
"22",22,115617.266232265,114945.190320251,114930.773076954,114789.523842846,114750.875681594
"23",23,58614.9861730764,58491.028129962,NA,NA,57102.4127952937
"24",24,25967.5287958229,NA,25932.0910738209,25928.1282461314,NA
"25",25,243862.478713691,NA,242512.864597278,NA,242181.339268116
"26",26,15915.4118058018,15857.0209665599,15843.5668775082,15796.214094663,15789.1142759476
"27",27,221016.736717192,220910.846593911,220713.991909776,220530.46261205,220483.544925924
"28",28,61651.4674697295,61047.8026746306,60763.6151781317,60543.3567880446,60537.689974532
"29",29,45768.1475085449,45679.4130785765,45568.1554676025,45264.8962389601,45228.5692772708
"30",30,150277.977347475,150039.341864751,NA,NA,149339.149911696
"31",31,NA,49678.2037960374,49655.7594836041,49624.3260381001,49628.1269108445
"32",32,108091.281751058,106984.818429901,106606.580860877,106203.517185372,106180.351513814
"33",33,63988.1491189684,63977.6202862589,63965.4037766809,63969.3378331952,63966.688214612
"34",34,53185.7560048653,53067.4573636175,53046.6989563331,NA,NA
"35",35,155986.858920235,154241.154688474,153902.074189614,153815.93112393,153694.040331921
"36",36,NA,NA,NA,NA,117168.224823517
"37",37,NA,NA,NA,NA,NA
"38",38,NA,NA,41302.0705658509,NA,41043.9831178173
