"Species","Scientific name","GOA","BC","COW"
"Arrowtooth flounder","Atheresthes stomias","X","X","X"
"Aurora rockfish","Sebastes aurora","","","X"
"Big skate","Raja binoculata","","","X"
"Bigfin eelpout","Lycodes cortezianus","","","X"
"Black eelpout","Lycodes diapterus","","","X"
"Blackbelly eelpout","Lycodes pacificus","","X","X"
"Brown cat shark","Apristurus brunneus","","","X"
"California slickhead","Alepocephalus tenebrosus","","","X"
"Canary rockfish","Sebastes pinniger","","X",""
"Chilipepper","Sebastes goodei","","","X"
"Darkblotched rockfish","Sebastes crameri","","","X"
"Deepsea sole","Embassichthys bathybius","","","X"
"Dover sole","Microstomus pacificus","","X","X"
"Dungeness crab","Cancer magister","","","X"
"English sole","Parophrys vetulus","","X","X"
"Flathead sole","Hippoglossoides elassodon","X","X",""
"Giant grenadier","Albatrossia pectoralis","","","X"
"Greenstriped rockfish","Sebastes elongatus","","X","X"
"Grooved tanner crab","Chionoecetes tanneri","","","X"
"Lanternfish unident.","Myctophidae","","","X"
"Lingcod","Ophiodon elongatus","","X","X"
"Longnose skate","Raja rhina","X","X","X"
"Longspine thornyhead","Sebastolobus altivelis","","","X"
"North pacific spiny dogfish","Squalus suckleyi","","X",""
"Northern rock sole","Lepidopsetta polyxystra","X","",""
"Northern rockfish","Sebastes polyspinis","X","",""
"Pacific cod","Gadus macrocephalus","","X",""
"Pacific grenadier","Coryphaenoides acrolepis","","","X"
"Pacific hake","Merluccius productus","","X",""
"Pacific halibut","Hippoglossus stenolepis","","X",""
"Pacific ocean perch","Sebastes alutus","","X",""
"Pacific sanddab","Citharichthys sordidus","","X","X"
"Pacific spiny dogfish","Squalus suckleyi","","","X"
"Petrale sole","Eopsetta jordani","","X","X"
"Redbanded rockfish","Sebastes babcocki","X","X",""
"Redstripe rockfish","Sebastes proriger","","X",""
"Rex sole","Glyptocephalus zachirus","X","X","X"
"Rosethorn rockfish","Sebastes helvomaculatus","","X",""
"Rougheye/blackspotted rockfish complex","Sebastes aleutianus/melanostictus complex","","X",""
"Sablefish","Anoplopoma fimbria","","X","X"
"Sandpaper skate","Bathyraja kincaidii","","","X"
"Sharpchin rockfish","Sebastes zacentrus","","X",""
"Shortspine thornyhead","Sebastolobus alascanus","","X","X"
"Silvergray rockfish","Sebastes brevispinis","","X",""
"Slender sole","Lyopsetta exilis","","X","X"
"Snakehead eelpout","Lycenchelys crotalinus","","","X"
"Southern rock sole","Lepidopsetta bilineata","X","X",""
"Spiny dogfish","Squalus suckleyi","X","",""
"Spinyhead sculpin","Dasycottus setiger","X","",""
"Splitnose rockfish","Sebastes diploproa","","","X"
"Spotted ratfish","Hydrolagus colliei","","X","X"
"Stripetail rockfish","Sebastes saxicola","","","X"
"Twoline eelpout","Bothrocara brunneum","","","X"
"Walleye pollock","Gadus chalcogrammus","X","X",""
"Yellowmouth rockfish","Sebastes reedi","","X",""
"Yellowtail rockfish","Sebastes flavidus","","X",""
