"","species","spatial_only","depth_effect","time_varying","quadratic","covariate","lo","lo_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se","converged","b_env","b_env_se","b_env2","b_env2_se"
"1","longnose skate",FALSE,TRUE,FALSE,TRUE,"temp",-0.0189171323745255,2.36803359640327,16.2791247907444,3.22372251712177,16.2980419231189,5.24053976444315,2.99573227355399,0,0.984941242829903,0.00968411004527382,1,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"2","north pacific spiny dogfish",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.04409146059635,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"3","spotted ratfish",FALSE,TRUE,FALSE,TRUE,"temp",5.47932500482817,0.288718257183133,18.188180584697,1.12122415963642,12.7088555798688,1.0558838540455,2.99573227355399,0,0.975234499900126,0.00411516072843587,1,1.75591136113553,0.213595455244282,-0.0741908079198959,0.0123279198050368
"4","walleye pollock",FALSE,TRUE,FALSE,TRUE,"temp",2.64903968993237,0.659455808964639,10.8537438022259,0.401674640262488,8.20470411229354,0.865767236072343,2.99573227355399,0,0.94057979523599,0.0125401393496467,1,2.40359032018039,0.573063667898307,-0.178007025112731,0.0375669001646004
"5","pacific cod",FALSE,TRUE,FALSE,TRUE,"temp",-2.2867296017403,3.22951594645088,15.6105849369885,1.8367748300584,17.8973145387288,4.65769370687847,2.99573227355399,0,0.98751224844324,0.00649975969446372,1,0.498444899970127,0.324018922764052,-0.0374099603627107,0.0194715398870502
"6","lingcod",FALSE,TRUE,FALSE,TRUE,"temp",3.65475307809945,0.509035227779944,13.6758384349762,0.83017306121099,10.0210853568768,1.13296876408869,2.99573227355399,0,0.960168150840242,0.00900665732438428,1,2.06798246885563,0.430142460282475,-0.119325556043218,0.0269815340234993
"7","pacific hake",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.00843815791701,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"8","blackbelly eelpout",FALSE,TRUE,FALSE,TRUE,"temp",-8.43555886649323,9.37897002919578,-0.100670042458045,3.4609550768259,8.33488882403519,5.97299036990746,2.99573227355399,0,0.942421497084342,0.0825243985107915,1,-1.47241224181716,0.278371522122353,-0.172489779447358,0.247221003974409
"9","sablefish",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.02311261085816,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"10","canary rockfish",FALSE,TRUE,FALSE,TRUE,"temp",3.47856267042036,0.808687178457503,11.7442097729263,0.945766899285682,8.26564710250591,1.46932293833731,2.99573227355399,0,0.941452780765402,0.0208150120929254,1,2.66994937135304,0.935627430562253,-0.175391794187923,0.0623562035011927
"11","greenstriped rockfish",FALSE,TRUE,FALSE,TRUE,"temp",-2.03189042511702,0.221336862176485,1.35976304107469,0.117030097678872,3.39165346619171,0.284077153422349,2.99573227355399,0,0.652274095438574,0.058249456274751,1,-0.70015087139796,0.178528811711544,-1.04169371464542,0.174499776079244
"12","pacific ocean perch",FALSE,TRUE,FALSE,TRUE,"temp",2.24070584205633,0.605509659284858,8.21333794544634,0.239977632195734,5.97263210339001,0.709295305570176,2.99573227355399,0,0.887868285466988,0.0266329810197605,1,3.51168680474013,0.989352251248408,-0.335916596115485,0.0797852807818483
"13","redbanded rockfish",FALSE,TRUE,FALSE,TRUE,"temp",2.89667721903952,0.412131796786977,8.75805073924042,0.281064339437972,5.86137352020089,0.593205989370333,2.99573227355399,0,0.883570992494064,0.0235666211514868,1,4.06505414219199,0.884688703135102,-0.348790135363394,0.0705992875621285
"14","redstripe rockfish",FALSE,TRUE,FALSE,TRUE,"temp",3.97327221281109,0.528026794482199,9.81403637069377,0.459173405549271,5.84076415788269,0.763885817680378,2.99573227355399,0,0.882747894369211,0.0306696925824823,1,4.84287371918956,1.31631337394398,-0.351255916980314,0.091878187889321
"15","rosethorn rockfish",FALSE,TRUE,FALSE,TRUE,"temp",4.30735800393958,0.239137802225995,9.68251564088682,0.643050655312601,5.37515763694723,0.721478073748558,2.99573227355399,0,0.86155490274482,0.0371654596326699,1,5.80222239391122,1.36396891240551,-0.414744445962666,0.111337766883056
"16","rougheye/blackspotted rockfish complex",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1.71558272284276,0.648642720434187,0.0893455006211558,0.0420399893082229
"17","sharpchin rockfish",FALSE,TRUE,FALSE,TRUE,"temp",3.92776964707215,0.335943084645055,8.64187303780193,0.354817787123804,4.71410339072978,0.568824664942118,2.99573227355399,0,0.820004443196089,0.0434381275944841,1,6.77778385664972,1.63699781207595,-0.539218498613799,0.130129000737552
"18","silvergray rockfish",FALSE,TRUE,FALSE,TRUE,"temp",3.86157183001361,0.256844099512889,9.63569578474347,0.298505073116468,5.77412395472987,0.465013736356474,2.99573227355399,0,0.880025821243172,0.0193240192165644,1,4.85105996248292,0.771165510536781,-0.359410519294962,0.0578895880218387
"19","yellowmouth rockfish",FALSE,TRUE,FALSE,TRUE,"temp",-2.03778120360095,0.379932236060759,1.08144821143658,0.22965204673493,3.11922941503753,0.495666057313608,2.99573227355399,0,0.588883075369546,0.130658363340691,1,-1.177816116687,0.441528499638717,-1.23159623931971,0.391417475869452
"20","yellowtail rockfish",FALSE,TRUE,FALSE,TRUE,"temp",3.58656147626092,0.707381724178224,11.3813318838256,0.812198617563972,7.79477040756466,1.23059433587674,2.99573227355399,0,0.93416553117055,0.0207871483599699,1,2.95200449481025,0.923335840218455,-0.197222442984668,0.0622727312171165
"21","shortspine thornyhead",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.664569235019347,0.346375561791702,0.0199084797124003,0.0241951729761088
"22","pacific halibut",FALSE,TRUE,FALSE,TRUE,"temp",3.4808113209734,0.526479813768142,16.302175683483,0.987121827175529,12.8213643625096,1.30371638951029,2.99573227355399,0,0.975667232485604,0.00494846366014238,1,1.44207009449449,0.259634924375015,-0.0728944569477624,0.0148242722911976
"23","arrowtooth flounder",FALSE,TRUE,FALSE,TRUE,"temp",-0.648948587705942,1.19822613442799,11.1743180312573,0.263838488228425,11.8232666189632,1.23421572260274,2.99573227355399,0,0.971385574891238,0.00597404668280566,1,0.902246844317144,0.286633472010596,-0.0857211567875111,0.0178966444513992
"24","dover sole",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.00585266633949,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"25","english sole",FALSE,TRUE,FALSE,TRUE,"temp",6.181424728145,1.1734181715724,22.9142650459838,4.71063997203592,16.7328403178388,3.770298362788,2.99573227355399,0,0.985713670642003,0.00643808500715603,1,1.24523785259152,0.331724400754312,-0.0427980179283723,0.0192867790358206
"26","flathead sole",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.03236773531216,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"27","pacific sanddab",FALSE,TRUE,FALSE,TRUE,"temp",5.48720945342179,0.338491723043329,12.8354322576234,0.535911574942453,7.34822280420164,0.699795172853052,2.99573227355399,0,0.925920957664309,0.0141095765921666,1,4.06617856657464,0.72833198853873,-0.221920977919002,0.0422685139633348
"28","petrale sole",FALSE,TRUE,FALSE,TRUE,"temp",3.94481458118951,0.309686983674711,11.5188790003443,0.314635614724861,7.57406441915477,0.520422398296775,2.99573227355399,0,0.930272835904738,0.00958206214172617,1,3.23011686840659,0.448472945730795,-0.20888391582357,0.0287052928051689
"29","rex sole",FALSE,TRUE,FALSE,TRUE,"temp",1.28566023070085,0.760168709546435,12.4747612349057,0.621807912173851,11.1891010042049,1.25838277985759,2.99573227355399,0,0.968050092670462,0.00718649571336024,1,1.31705629078531,0.315504934058843,-0.0957133685241563,0.0215288171422707
"30","southern rock sole",FALSE,TRUE,FALSE,TRUE,"temp",-1.80398258401633,0.449080106361835,7.57684292190321,0.798064246164663,9.38082550591954,1.08088100733289,2.99573227355399,0,0.954545396266718,0.0104747749204256,1,0.786089372638641,0.149617629625289,-0.136169823385401,0.031379621287333
"31","slender sole",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.00676551051261,NA,0,0.733530566812595,0.439200740076214,-0.0451120048540717,0.0290110010032755
"32","longnose skate",FALSE,FALSE,FALSE,TRUE,"temp",-3.47442278605621,2.24227337111046,9.85480574322165,0.442531471244825,13.3292285292779,2.08870754480565,2.99573227355399,0,0.977486139886173,0.00705590265470484,1,0.430328101799318,0.296567219475681,-0.0674454973452716,0.0211375953017545
"33","north pacific spiny dogfish",FALSE,FALSE,FALSE,TRUE,"temp",5.08045239702532,0.511479191445667,20.0146748005225,2.42596493321598,14.9342224034971,2.15802465537088,2.99573227355399,0,0.982065273340597,0.00518320690192321,1,1.34830194654733,0.254496228481381,-0.0537276394709439,0.0155275001965987
"34","spotted ratfish",FALSE,FALSE,FALSE,TRUE,"temp",5.45876517423785,0.113020091096228,14.8215887575312,0.339831639056447,9.36282358329336,0.350202214088312,2.99573227355399,0,0.954370436886743,0.00341340918965049,1,2.77220178462134,0.169940159238078,-0.136693954846552,0.0102256600722818
"35","walleye pollock",FALSE,FALSE,FALSE,TRUE,"temp",3.616351124216,0.190780740230875,8.95870389571321,0.0875557270452393,5.34235277149721,0.185155044600041,2.99573227355399,0,0.859849430599338,0.00971466544349074,1,5.27968191798945,0.43715935830753,-0.419853583910535,0.0291025367958454
"36","pacific cod",FALSE,FALSE,FALSE,TRUE,"temp",4.73068576020521,0.144698838254084,11.8952805705952,0.169363550291289,7.16459481038996,0.236950820736078,2.99573227355399,0,0.922075015775162,0.00515434283628833,1,3.88120531895736,0.253646346712005,-0.233442390158534,0.0154410311836311
