"","species","spatial_only","depth_effect","time_varying","quadratic","covariate","lo","lo_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se","converged","b_env","b_env_se","b_env2","b_env2_se"
"1","arrowtooth flounder",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.02271390519313,NA,0,NA,NA,NA,NA
"2","blackbelly eelpout",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.00914333021888,NA,0,NA,NA,NA,NA
"3","canary rockfish",FALSE,TRUE,FALSE,TRUE,"temp",-0.90849537507391,4.01091178553011,13.6136328660803,2.30515980808404,14.5221282411542,5.89354323345438,2.99573227355399,0,0.981032964538816,0.0153948569582482,1,0.721907948424195,0.70079026189064,-0.0568201602647127,0.0461188698365709
"4","dover sole",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.02464895398281,NA,0,NA,NA,NA,NA
"5","english sole",FALSE,TRUE,FALSE,TRUE,"temp",-3.9397869142178,8.99691744184342,20.0556819452842,7.84112278347417,23.995468859502,16.0301309641605,2.99573227355399,0,0.993052932624987,0.00928195239612606,1,0.335396818760743,0.485322960439864,-0.0208115539418818,0.0278062443546667
"6","flathead sole",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-4.15919208064781,0.826868093860966,0.233660405333936,0.0545460962833286
"7","greenstriped rockfish",FALSE,TRUE,FALSE,TRUE,"temp",2.35094387985605,1.2838009143412,10.0196709496377,0.821899717053116,7.66872706978163,1.94755248732839,2.99573227355399,0,0.9319836334124,0.0345469183402533,1,2.52062193620218,1.39109208644226,-0.203758824516351,0.103493318223732
"8","lingcod",FALSE,TRUE,FALSE,TRUE,"temp",2.76030655123401,1.00797555077111,15.2287159691718,1.53524335958722,12.4684094179377,2.23231395038903,2.99573227355399,0,0.974270112798055,0.00921323389657165,1,1.38659122022512,0.459359122478145,-0.0770798534857718,0.0276003821277614
"9","longnose skate",FALSE,TRUE,FALSE,TRUE,"temp",1.02377957852843,4.55979563008671,30.3764329935215,41.0384779090881,29.3526534149931,38.0069482358028,2.99573227355399,0,0.995357357335838,0.0120229457227876,1,0.436717750633681,0.531454026900813,-0.0139081144636076,0.0360175265249407
"10","north pacific spiny dogfish",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-0.0141809427944169,0.46796445763149,0.0285003121772401,0.0276279131616434
"11","pacific cod",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-0.575457828277729,0.433275487778057,0.0294795652566367,0.025178712722933
"12","pacific hake",FALSE,TRUE,FALSE,TRUE,"temp",-0.0336051446161048,3.97802389189392,13.3010231263464,2.84326565387241,13.3346282709625,6.33609005883451,2.99573227355399,0,0.977504369777897,0.0213780746071291,1,0.894103045693266,0.946948849489612,-0.0673908854702909,0.0640429880470218
"13","pacific halibut",FALSE,TRUE,FALSE,TRUE,"temp",3.23528188022363,0.746855974203205,15.1871528012281,1.14967646138268,11.9518709210044,1.58150606196456,2.99573227355399,0,0.971998054693279,0.0074105964734861,1,1.54539045862887,0.378116316595483,-0.0838863312776361,0.0222001630219078
