"","species","spatial_only","depth_effect","time_varying","quadratic","covariate","lo","lo_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se","converged","b_env","b_env_se","b_env2","b_env2_se"
"1","northern rockfish",FALSE,TRUE,FALSE,TRUE,"temp",-0.707697109117417,1.22487327680054,10.6116447300637,0.928675958099018,11.3193418391812,1.98652648559427,2.99573227355399,0,0.968781096874345,0.0109577356689852,1,0.926251604052367,0.363372333060401,-0.0935234756384812,0.0328264423886527
"2","southern rock sole",FALSE,TRUE,FALSE,TRUE,"temp",-2.10091579406653,1.92337270497744,15.8627781531236,2.42287413880893,17.9636939471902,3.89566654309619,2.99573227355399,0,0.987604367362021,0.00537631641802049,1,0.511032952042424,0.213118520515024,-0.0371339967447136,0.0161060046063022
"3","northern rock sole",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,0.117121806994933,0.27039624477423,0.00183499912547168,0.0208536954759292
"4","spinyhead sculpin",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-0.0569512791730679,0.362248573513195,0.00524105627973344,0.0306728929293256
"5","longnose skate",FALSE,TRUE,FALSE,TRUE,"temp",1.80330719088059,0.483207207794251,13.9705701525237,1.25462026103376,12.1672629616431,1.54905359760743,2.99573227355399,0,0.972980693188148,0.00687983066589467,1,1.27677879293013,0.260976451261765,-0.0809426094253233,0.0206101307624074
"6","spiny dogfish",FALSE,TRUE,FALSE,TRUE,"temp",5.60597917209486,2.55857824971012,25.2941835219416,8.84856672855572,19.6882043498468,6.49112055935208,2.99573227355399,0,0.989680758542106,0.00680442352121099,1,0.955237885899029,0.296934016663518,-0.0309136846740093,0.020384231145422
"7","arrowtooth flounder",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-0.359843799555756,0.329132712051822,0.000144110272209966,0.0231789434051255
"8","rex sole",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,0.228891529394573,0.227132373189624,-0.0119455065657877,0.0181141980427283
"9","flathead sole",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-0.147302870040041,0.229987511377005,-0.00882505298062438,0.0175287623639786
"10","walleye pollock",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-0.421656505525869,0.204434003167554,0.0324131304141283,0.0152660086888109
"11","redbanded rockfish",FALSE,TRUE,FALSE,TRUE,"temp",-0.968188126536465,3.06156732763778,10.985006124579,2.33329781686372,11.9531942511155,5.15090908990509,2.99573227355399,0,0.972004254503205,0.0241280342189122,0,NA,NA,NA,NA
