"","species","mean_depth","min_depth","max_depth","lower95_depth","upper95_depth","range_depth","range95_depth","min_lat","max_lat","lower95_lat","upper95_lat","range_lat","range95_lat","min_lon","max_lon","lower95_lon","upper95_lon","range_lon","range95_lon","mean_lat","mean_lon","weighted_depth","weighted_lat","weighted_lon","n_year","p","min_n","mean_n"
"1","arrowtooth flounder",193.555174488568,21,1184,60,423.1,1163,363.1,48.222,54.672733,48.464708,54.409033,6.450733,5.944325,-133.983116,-124.787416,-133.63566625,-125.489732875,9.1957,8.14593337500001,51.938055833935,-129.732704588448,166.454630322962,51.8615561817394,-129.320581038375,17,0.855065412352839,171,293.294117647059
"2","blackbelly eelpout",154.614854368932,65.9,470,90,268.4475,404.1,178.4475,48.380733,54.654766,48.488616,53.7276225,6.274033,5.2390065,-133.406166,-125.108966,-131.05789035,-125.26745315,8.29720000000002,5.79043720000001,51.0617956815534,-128.339869237864,139.017723893472,50.808781582395,-127.71239308666,17,0.177069484024902,18,60.5882352941176
"3","bocaccio",167.8625,50,803,76.725,287.7,753,210.975,48.264333,54.4005,48.350042725,54.232178225,6.136167,5.8821355,-133.659,-125.18595,-133.43595625,-125.595402025,8.47304999999999,7.84055422500001,51.3340079019886,-129.102655708807,157.304470459814,50.8886803331999,-128.431920944788,17,0.102491277679254,7,41.4117647058824
"4","canary rockfish",153.932106164384,24,386,54,279.65,362,225.65,48.264333,54.571833,48.39822445,54.247357025,6.3075,5.84913257499999,-133.55025,-124.791016,-133.334341475,-125.383375775,8.75923400000001,7.9509657,51.1485800376712,-128.867564791096,160.29705682071,50.589731388789,-128.417999950753,17,0.202752248089247,35,68.7058823529412
"5","darkblotched rockfish",234.837290715373,85,803,108.04,402.52,718,294.48,48.245133,54.588033,48.3971,54.3088632,6.3429,5.9117632,-133.787133,-125.04755,-133.564466,-125.32744,8.73958300000001,8.23702599999999,50.8269303318113,-128.555022063927,297.310065451967,50.3701113177725,-128.545803227234,17,0.113248154125777,20,38.6470588235294
"6","dover sole",209.597629359471,21,1110,69,460.699999999999,1089,391.699999999999,48.222,54.672733,48.4548285,54.417805,6.450733,5.9629765,-133.960166,-124.787416,-133.65981395,-125.4432855,9.17274999999999,8.21652845,51.862520368589,-129.685292045817,205.93874856347,51.9163295841669,-129.339202740175,17,0.758044039007303,152,258.058823529412
"7","english sole",121.863561847988,20,422,27,256,402,229,48.256166,54.6566,48.430093,54.32399625,6.400434,5.89390325,-133.698,-124.787416,-132.8568075,-125.315933,8.91058400000001,7.5408745,51.6786467138599,-129.205976149404,86.7697345023378,52.7442075008336,-130.022367735116,17,0.44426926537892,73,157.882352941176
"8","flathead sole",151.873843156357,21,649,71,258.85,628,187.85,48.264333,54.6566,48.472765,54.361328,6.392267,5.888563,-133.349333,-124.791016,-131.374025,-125.308966,8.558317,6.06505899999999,51.5311477208963,-128.832293894301,134.425107617386,51.3583299597527,-128.461531211173,17,0.319801665215077,32,120.764705882353
"9","greenstriped rockfish",170.068247944339,56,465.1,93.25,260.45,409.1,167.2,48.256166,54.4177,48.3685915,54.3381995,6.161534,5.96960800000001,-133.791483,-124.865166,-133.575808,-125.385308,8.926317,8.19049999999999,51.093548830487,-128.858307825427,174.375688915984,49.727739057709,-127.444337405149,17,0.283646219960774,42,93
"10","lingcod",140.627455678007,20,462,37.6,290.4,442,252.8,48.259766,54.572466,48.433768,54.3250849,6.3127,5.89131690000001,-133.7955,-124.787416,-133.50594795,-125.3800961,9.00808400000001,8.12585185,51.4389576018208,-129.137509880211,142.874747296484,50.7182578070169,-128.376049505577,17,0.360565728704538,51,122.764705882353
"11","longnose skate",213.802344971339,21,1253,75,448,1232,373,48.245133,54.672733,48.434488,54.4680133,6.4276,6.0335253,-133.857333,-124.787416,-133.543516,-125.33781,9.06991700000002,8.20570600000002,51.5332809176655,-129.205851109432,218.330463779875,51.4290829074538,-129.068367787693,17,0.341275246554763,74,112.882352941176
"12","north pacific spiny dogfish",156.553918201686,18,803,29,332.95,785,303.95,48.245133,54.672733,48.426833,54.36530165,6.4276,5.93846865,-133.78325,-124.791016,-133.4288802,-125.39693415,8.99223400000001,8.03194604999999,51.7212969253825,-129.30960971714,117.143873246314,50.0580895044892,-127.509900033525,17,0.543543639197828,92,188.411764705882
"13","pacific cod",141.834224250326,20,388,28.935,273,368,244.065,48.264333,54.672733,48.4738925,54.39812675,6.4084,5.92423425,-133.786583,-124.787416,-133.556963525,-125.39562625,8.99916700000001,8.16133727499999,51.9934874530639,-129.653581243155,123.448503570244,52.0107571053554,-129.536437934578,17,0.521997482261659,64,180.470588235294
"14","pacific hake",247.449357798165,25,1184,96.475,470,1159,373.525,48.222,54.654766,48.457418675,54.402481,6.432766,5.94506232499999,-133.983116,-125.0775,-133.62711215,-125.47295,8.90561599999999,8.15416215000002,51.6535567302752,-129.555724045413,229.217619638858,51.4988740914859,-129.227019017361,17,0.366324195076228,38,128.235294117647
"15","pacific halibut",138.253199498118,20,803,25,355.5,783,330.5,48.24815,54.672733,48.5022035,54.4157785,6.424583,5.913575,-133.813516,-124.787416,-133.62583325,-125.4871705,9.0261,8.13866275000001,52.0759905826014,-129.777920848599,110.287309618946,52.5889293571967,-130.147656141148,17,0.405445831090756,46,140.647058823529
"16","pacific ocean perch",234.285788280997,66.4,803,116.24,419,736.6,302.76,48.245133,54.654766,48.476503,54.4184,6.409633,5.94189700000001,-133.876166,-125.04755,-133.688156,-126.1255296,8.82861600000001,7.56262639999998,52.1880677497572,-130.184603061832,262.240787317474,52.8585909168065,-131.665771369677,17,0.529627818374876,83,181.705882352941
