"","species","spatial_only","depth_effect","time_varying","quadratic","covariate","lo","lo_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se","converged","b_env","b_env_se","b_env2","b_env2_se"
"1","brown cat shark",FALSE,TRUE,FALSE,TRUE,"temp",2.74379899314162,0.40465339118743,9.07882143837604,0.221388246378653,6.33502244523442,0.426194855300468,2.99573227355399,0,0.900330179656507,0.013410770056884,1,3.5300464516573,0.568945123329225,-0.29858409750233,0.0401750766726186
"2","longnose skate",FALSE,TRUE,FALSE,TRUE,"temp",2.74954764310163,0.522861043452893,12.1865727729631,0.289909609691273,9.43702512986147,0.608563196327481,2.99573227355399,0,0.955085169170509,0.00579282403850162,1,2.00969694674679,0.30841817062657,-0.134552808277123,0.0173537499271589
"3","slender sole",FALSE,TRUE,FALSE,TRUE,"temp",4.35263198071644,0.307665943571708,11.590809086351,0.204534226191405,7.23817710563452,0.381960865743181,2.99573227355399,0,0.923651311603409,0.00805788824802782,1,3.64658750582921,0.423220519358061,-0.228720229873183,0.0241392758813083
"4","english sole",FALSE,TRUE,FALSE,TRUE,"temp",-8.07003874087718,18.5618266271636,23.5937820363921,15.7577114869993,31.6638207772693,33.6264723567642,2.99573227355399,0,0.996010363265798,0.00847386108580254,1,0.185537971730752,0.436010878860725,-0.0119518835244047,0.0253854191363522
"5","dover sole",FALSE,TRUE,FALSE,TRUE,"temp",-0.426304073754074,1.85783091065412,11.843265653068,0.519813501655628,12.2695697268221,1.66029176923387,2.99573227355399,0,0.973429402213664,0.00719095221600769,1,0.908771843933428,0.406459144642193,-0.0795983973161481,0.0215421676310792
"6","rex sole",FALSE,TRUE,FALSE,TRUE,"temp",5.44560382615233,0.235800765652993,12.0810669939581,0.220920334574236,6.6354631678058,0.303806805129567,2.99573227355399,0,0.909151553425566,0.00831905041344386,1,4.77001707660787,0.452479332826669,-0.272157623405276,0.0249216478088762
"7","bigfin eelpout",FALSE,TRUE,FALSE,TRUE,"temp",4.67210361394969,0.212052818041913,11.0977568204991,0.234095684150698,6.42565320654936,0.324924843655908,2.99573227355399,0,0.903121941760721,0.00979763050237493,1,4.57674033894748,0.462627218551535,-0.290220725666648,0.0293510779003213
"8","shortspine thornyhead",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,1.7758672685569,0.647954331672412,-0.129192786638364,0.0412023756160157
"9","splitnose rockfish",FALSE,TRUE,FALSE,TRUE,"temp",4.37493818517004,0.265620443534335,10.4866537446229,0.219469979729135,6.11171555945289,0.3368137285003,2.99573227355399,0,0.892913746775609,0.0118029446458281,1,4.76762462215216,0.557945562065074,-0.320801744838285,0.0353584621984787
"10","pacific sanddab",FALSE,TRUE,FALSE,TRUE,"temp",5.1608837241502,0.343241493748146,12.470639901765,0.329310229098096,7.30975617761483,0.47969661745668,2.99573227355399,0,0.925139243873812,0.00982534864950828,1,3.95409455952056,0.533910547892818,-0.224262783149877,0.0294341140482526
"11","lingcod",FALSE,TRUE,FALSE,TRUE,"temp",1.38879373947606,2.88114061112795,34.2010747215125,26.2194372861268,32.8122809820365,25.1394606148274,2.99573227355399,0,0.996284757659156,0.00569294091766004,1,0.396110658563555,0.312233014904782,-0.0111298713845416,0.0170545268384698
"12","blackbelly eelpout",FALSE,TRUE,FALSE,TRUE,"temp",NA,NA,NA,NA,NA,NA,2.99573227355399,NA,1.00467245177198,NA,0,NA,NA,NA,NA
"13","greenstriped rockfish",FALSE,TRUE,FALSE,TRUE,"temp",-1.24014459517485,4.07216862759586,17.9091105292463,3.54816232952925,19.1492551244212,7.27067393606651,2.99573227355399,0,0.989091721415149,0.0082834069815158,1,0.544713172868398,0.437946518650258,-0.0326782822055566,0.0248148696295098
"14","sablefish",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,0.153397981872514,0.301771250697898,0.013666418120833,0.0169793460305568
"15","lanternfish unident.",FALSE,TRUE,FALSE,TRUE,"temp",0.252277508688135,1.27926759871364,12.302611811989,0.827889729191844,12.0503343033009,1.82082754338996,2.99573227355399,0,0.972453793391053,0.0083245643559849,1,1.03604277683842,0.366152584702265,-0.0825210601524075,0.0249381661045012
"16","pacific spiny dogfish",FALSE,TRUE,FALSE,TRUE,"temp",3.36970412859987,0.600666973022624,15.1213722463549,0.744825610503533,11.751668117755,1.15498063785846,2.99573227355399,0,0.97103583882616,0.00569332711107702,1,1.60444984660756,0.306618687481844,-0.0867688724048917,0.0170556837705533
"17","chilipepper",FALSE,TRUE,FALSE,TRUE,"temp",-0.744104377145055,5.12991940754992,24.0521655430759,10.9991468075067,24.796269920221,15.567498770416,2.99573227355399,0,0.993494401139664,0.00816864008860593,1,0.45425156075217,0.458233826715907,-0.0194890324647056,0.0244710587444839
"18","sandpaper skate",FALSE,TRUE,FALSE,TRUE,"temp",4.40581605224874,0.219682727774162,11.1710330623079,0.228582962790242,6.76521701005916,0.342204957538282,2.99573227355399,0,0.912602999646076,0.00884160456364309,1,4.07829970846175,0.416485527398785,-0.261818014572058,0.026487080141308
"19","deepsea sole",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,6.41358106502905,1.44305407610194,-0.609475075351607,0.132379224835679
"20","california slickhead",FALSE,TRUE,FALSE,TRUE,"temp",-436.102672730804,19948.6907281128,-378.120556120045,18593.804447905,57.9821166107594,1354.89136151069,2.99573227355404,0,0.998810205762265,0.0556047977859339,1,-2.90213992312346,1.78579284486903,-0.00356430499682425,0.166577087290751
"21","twoline eelpout",FALSE,TRUE,FALSE,TRUE,"temp",2.36238338442182,0.302329055773513,6.51963978732295,0.171704691945348,4.15725640290113,0.304317128789877,2.99573227355399,0,0.768555763889314,0.0338840997918817,0,NA,NA,NA,NA
"22","longspine thornyhead",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-2.34761297106133,1.17806902104674,0.106177757737552,0.087028788309392
"23","grooved tanner crab",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-0.206567055061778,0.700914002310638,-0.0399033998546154,0.0512668313985638
"24","spotted ratfish",FALSE,TRUE,FALSE,TRUE,"temp",3.34590454229146,0.40639568680367,12.0328761715018,0.222349770760634,8.68697162921038,0.460918664899327,2.99573227355399,0,0.946994225452798,0.00562482574574063,1,2.44201365223547,0.305418308205595,-0.158791109495775,0.0168504720196326
"25","aurora rockfish",FALSE,TRUE,FALSE,TRUE,"temp",4.27710695660635,0.212751052631847,9.13109327692179,0.199248125799956,4.85398632031544,0.298982199566376,2.99573227355399,0,0.830229239065894,0.0209141238464959,1,6.8192463566242,0.861650234283205,-0.508587747636122,0.0626531157800524
"26","stripetail rockfish",FALSE,TRUE,FALSE,TRUE,"temp",1.13104151559801,1.86975868164963,16.6830190924958,1.81516213847049,15.5519775768978,3.37139065054501,2.99573227355399,0,0.983461780622019,0.0071703804756529,1,0.882581200029311,0.392588590934951,-0.049544077537735,0.0214805402045745
"27","arrowtooth flounder",FALSE,TRUE,FALSE,TRUE,"temp",3.95483437558098,0.446249503494435,11.6771822430371,0.373097228717925,7.72234786745611,0.677542920759367,2.99573227355399,0,0.932924909289428,0.011770061035909,1,3.14108200607076,0.576355563896297,-0.200939013993221,0.035259951706973
"28","black eelpout",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,3.28960101190288,0.589288802559192,-0.238276902412607,0.0410961611176584
"29","petrale sole",FALSE,TRUE,FALSE,TRUE,"temp",4.78305500428499,0.251482596223528,11.378497194172,0.171623429065412,6.59544218988702,0.293380961703128,2.99573227355399,0,0.908045676162612,0.00818069423807228,1,4.45203144043826,0.435365842569895,-0.275470535612496,0.02450716974907
"30","darkblotched rockfish",FALSE,TRUE,FALSE,TRUE,"temp",0.775331238909862,2.5118182089426,15.5327973957878,3.16715277682142,14.757466156878,5.43574976850694,2.99573227355399,0,0.981633077246641,0.0135305065305158,1,0.897312103960875,0.629794538992939,-0.0550223832581088,0.0405337750909996
"31","dungeness crab",FALSE,TRUE,FALSE,TRUE,"temp",6.20700225402765,6.16965025682882,31.0607492047381,23.9272528365172,24.8537469507104,18.1387374653702,2.99573227355399,0,0.993524456176136,0.00945195021092953,1,0.722956947389012,0.492916340315732,-0.0193989956219633,0.0283155122949057
"32","pacific grenadier",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,-4.03616667439332,0.802583715122847,0.29060716265925,0.0619726395315567
"33","giant grenadier",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,1,4.47688514448893,2.08233769614479,-0.579742235497258,0.215859659748475
"34","snakehead eelpout",FALSE,TRUE,FALSE,TRUE,"temp",0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"35","big skate",FALSE,TRUE,FALSE,TRUE,"temp",-16.7218692231486,57.9933228628622,30.7616780073038,42.7294706192068,47.4835472304523,99.9500075077397,2.99573227355399,0,0.998225918035177,0.00746867140497284,1,0.074617015105218,0.401245213743778,-0.00531467459794952,0.0223741399684468
